Time (s),PF,RR,BAT,MT
0.513214,4040.420000,4040.420000,4040.420000,4040.420000
0.514214,2.503630,251.645000,2.503630,2.503630
0.515214,2.503540,251.638000,2.503540,2.503540
0.516214,2.503440,251.630000,4040.080000,2.503440
0.517214,2.503350,4039.960000,4039.960000,2.503350
0.518214,2.503250,4039.850000,4039.850000,2.503250
0.519214,4039.730000,4039.730000,4039.730000,4039.730000
0.520214,4039.620000,4039.620000,4039.620000,4039.620000
0.521214,2.502970,4039.500000,2.502970,2.502970
0.522214,2.502870,251.587000,760.063000,2.502870
0.523214,2.502780,251.580000,4039.270000,2.502780
0.524214,2.502680,251.573000,4039.160000,2.502680
0.525214,2.502590,251.566000,2.502590,2.502590
0.526214,2.502490,2.546890,4038.930000,2.502490
0.527214,2.502400,4038.810000,2.502400,2.502400
0.528214,2.502300,4038.700000,2.502300,2.502300
0.529214,2.502210,251.807000,2.502210,2.502210
0.530214,2.502110,251.800000,2.502110,2.502110
0.531214,2.502020,2526.150000,3.221420,2.502020
0.532214,3.221290,251.515000,2.501920,3.221290
0.533214,4038.120000,2.546210,4038.120000,4038.120000
0.534214,2.501730,251.501000,2.501730,2.501730
0.535214,2.501640,251.494000,2.501640,2.501640
0.536214,2.501540,6.280780,2.501540,2.501540
0.537214,2.501450,1013.350000,2.501450,2.501450
0.538214,2.501350,2.501350,2.501350,2.501350
0.539214,2.501260,251.735000,2.501260,2.501260
0.540214,2.501160,2.545530,2.501160,2.501160
0.541214,2.501070,3280.360000,2.501070,2.501070
0.542214,6.281870,251.444000,4037.090000,6.281870
0.543214,4036.970000,4036.970000,3.219830,4036.970000
0.544214,2.500780,251.429000,2.500780,2.500780
0.545214,2.500690,2.545050,2.500690,2.500690
0.546214,2.500590,251.415000,2.500590,2.500590
0.547214,2.500500,2.544850,2.500500,2.500500
0.548214,2.500400,2.544750,2.500400,2.500400
0.549214,2.500310,251.663000,2.500310,2.500310
0.550214,2.500210,2.500210,2.500210,2.500210
0.551214,2.500120,2524.710000,2.500120,2.500120
0.552214,6.279990,6.881260,4.149240,6.279990
0.553214,4035.830000,255.991000,14.299600,4035.830000
0.554214,2.499830,251.358000,2.499830,2.499830
0.555214,2.499740,2.544070,2.499740,2.499740
0.556214,2.499650,251.343000,2.499650,2.499650
0.557214,2.499550,2.499550,2.499550,2.499550
0.558214,2.499460,3.034110,2.499460,2.499460
0.559214,2.499360,3.463690,2.499360,2.499360
0.560214,2.499270,2.499270,2.499270,2.499270
0.561214,2.499170,4034.910000,2.499170,2.499170
0.562214,6.278110,4034.790000,3.026240,6.278110
0.563214,4034.680000,4034.680000,4034.680000,4034.680000
0.564214,2.498890,2.498890,2.498890,2.498890
0.565214,2.498790,251.279000,2.498790,2.498790
0.566214,2.498700,2.498700,2.498700,2.498700
0.567214,2.498600,2.498600,2.498600,2.498600
0.568214,2.498510,251.257000,2.498510,2.498510
0.569214,2.498410,251.250000,2.498410,2.498410
0.570214,2.498320,4.146020,2.498320,2.498320
0.571214,2.498220,2.498220,3.216130,2.498220
0.572214,6.276230,4033.640000,4033.640000,6.276230
0.573214,4033.530000,256.984000,4033.530000,4033.530000
0.574214,2.497940,2.542230,2.497940,2.497940
0.575214,2.497840,251.207000,2.497840,2.497840
0.576214,2.497750,251.200000,2.497750,2.497750
0.577214,2.497650,2.599280,2.497650,2.497650
0.578214,2.497560,3.031960,2.497560,2.497560
0.579214,2.497460,251.178000,2.497460,2.497460
0.580214,2.497370,2.541650,4.144220,2.497370
0.581214,2.497280,2.497280,14.286200,2.497280
0.582214,6.274350,3.272020,4.143870,6.274350
0.583214,4032.380000,251.419000,4032.380000,4032.380000
0.584214,2.496990,2.598580,2.496990,2.496990
0.585214,2.496900,251.135000,2.496900,2.496900
0.586214,2.496800,251.128000,2.496800,2.496800
0.587214,2.496710,3.030990,2.496710,2.496710
0.588214,2.496610,2.729640,2.496610,2.496610
0.589214,2.496520,2.540770,2.496520,2.496520
0.590214,2.496420,2.825340,14.281800,2.496420
0.591214,2.496330,2.496330,11.154600,2.496330
0.592214,6.272470,3.213360,4.142080,6.272470
0.593214,4031.230000,4.141900,4031.230000,4031.230000
0.594214,2.496040,251.071000,2.496040,2.496040
0.595214,2.495950,251.063000,2.495950,2.495950
0.596214,2.495850,2.597390,2.495850,2.495850
0.597214,2.495760,251.049000,2.495760,2.495760
0.598214,2.495670,2.539900,2.495670,2.495670
0.599214,2.495570,3.029700,2.495570,2.495570
0.600214,2.495480,3.212310,11.151900,2.495480
0.601214,2.495380,3.966260,3.021660,2.495380
0.602214,6.270590,4030.200000,4030.200000,6.270590
0.603214,4030.090000,4030.090000,2.495190,4030.090000
0.604214,2.495100,250.999000,2.495100,2.495100
0.605214,2.495000,250.992000,2.495000,2.495000
0.606214,2.494910,250.985000,2.494910,2.494910
0.607214,2.494810,250.978000,2.494810,2.494810
0.608214,2.494720,3.221480,2.494720,2.494720
0.609214,2.494620,2.494620,2.494620,2.494620
0.610214,2.494530,4.138860,3.020610,2.494530
0.611214,2.494440,4029.170000,4029.170000,2.494440
0.612214,6.268720,3273.740000,4.138500,6.268720
0.613214,4028.940000,2520.260000,3.210590,4028.940000
0.614214,2.494150,250.927000,2.494150,2.494150
0.615214,2.494060,250.920000,2.494060,2.494060
0.616214,2.493960,2.493960,2.493960,2.493960
0.617214,2.493870,250.906000,2.493870,2.493870
0.618214,2.493770,2.537960,2.493770,2.493770
0.619214,2.493680,2.595090,2.493680,2.493680
0.620214,2.493580,4028.140000,4028.140000,2.493580
0.621214,2.493490,3274.800000,4028.020000,2.493490
0.622214,6.266840,2519.610000,4027.910000,6.266840
0.623214,4027.790000,11.145000,4027.790000,4027.790000
0.624214,2.493210,250.856000,2.493210,2.493210
0.625214,2.493110,250.849000,2.493110,2.493110
0.626214,2.493020,2.493020,2.493020,2.493020
0.627214,2.492920,250.834000,2.492920,2.492920
0.628214,2.492830,250.827000,2.492830,2.492830
0.629214,2.492730,3.218990,2.492730,2.492730
0.630214,2.492640,4026.990000,4026.990000,2.492640
0.631214,2.492540,4026.880000,4026.880000,2.492540
0.632214,6.264960,2518.890000,4026.760000,6.264960
0.633214,4026.650000,2.593690,2.492350,4026.650000
0.634214,2.492260,250.784000,2.492260,2.492260
0.635214,2.492170,250.777000,2.492170,2.492170
0.636214,2.492070,2.492070,2.492070,2.492070
0.637214,2.491980,250.763000,2.491980,2.491980
0.638214,2.491880,250.756000,2.491880,2.491880
0.639214,2.491790,3.217810,2.491790,2.491790
0.640214,2.491690,2.757320,2.491690,2.491690
0.641214,2.491600,3272.940000,4025.730000,2.491600
0.642214,6.263090,4025.620000,4025.620000,6.263090
0.643214,4025.500000,250.950000,2.491410,4025.500000
0.644214,2.491320,250.713000,2.491320,2.491320
0.645214,2.491220,250.706000,2.491220,2.491220
0.646214,2.491130,2.491130,2.491130,2.491130
0.647214,2.491030,250.691000,2.491030,2.491030
0.648214,2.490940,2.592200,2.490940,2.490940
0.649214,2.490840,3.216630,2.490840,2.490840
0.650214,2.490750,252.847000,2.490750,2.490750
0.651214,2.490650,2515.630000,4024.590000,2.490650
0.652214,6.261210,2517.460000,4024.470000,6.261210
0.653214,4024.360000,253.146000,2.490460,4024.360000
0.654214,2.490370,250.641000,2.490370,2.490370
0.655214,2.490280,250.634000,2.490280,2.490280
0.656214,2.490180,2.490180,2.621550,2.490180
0.657214,2.490090,250.620000,2.490090,2.490090
0.658214,2.489990,2.591200,2.489990,2.489990
0.659214,2.489900,3.215450,2.489900,2.489900
0.660214,2.489800,253.096000,3.014750,2.489800
0.661214,2.489710,3.782400,4023.450000,2.489710
0.662214,6.259340,2516.750000,4023.330000,6.259340
0.663214,4023.220000,250.938000,2.489520,4023.220000
0.664214,2.489430,250.570000,2.489430,2.489430
0.665214,2.489330,250.563000,2.489330,2.489330
0.666214,2.489240,3.193390,2.489240,2.489240
0.667214,2.489140,250.548000,2.489140,2.489140
0.668214,2.489050,2.590210,2.489050,2.489050
0.669214,2.488950,2.533030,2.488950,2.488950
0.670214,2.488860,6.890600,2.488860,2.488860
0.671214,2.488770,3.202960,4022.300000,2.488770
0.672214,6.257470,3268.160000,4022.190000,6.257470
0.673214,4022.070000,6.749960,2.488580,4022.070000
0.674214,2.488480,250.498000,2.488480,2.488480
0.675214,2.488390,250.491000,2.488390,2.488390
0.676214,2.488290,2.488290,2.488290,2.488290
0.677214,2.488200,250.477000,2.488200,2.488200
0.678214,2.488110,2.532160,2.488110,2.488110
0.679214,2.488010,2.589110,2.488010,2.488010
0.680214,2.487920,2.755230,6.255970,2.487920
0.681214,2.487820,3267.320000,4021.160000,2.487820
0.682214,6.255600,1761.500000,4021.040000,6.255600
0.683214,4020.930000,258.540000,2.487630,4020.930000
0.684214,2.487540,250.427000,2.487540,2.487540
0.685214,2.487450,250.420000,2.487450,2.487450
0.686214,2.487350,3.085970,2.487350,2.487350
0.687214,2.487260,250.406000,2.487260,2.487260
0.688214,2.487160,3.212020,2.487160,2.487160
0.689214,2.487070,2.531090,2.487070,2.487070
0.690214,2.486970,1512.370000,3.200460,2.486970
0.691214,2.486880,2514.500000,4020.020000,2.486880
0.692214,6.253730,3266.300000,4019.900000,6.253730
0.693214,4019.790000,256.944000,2.486690,4019.790000
0.694214,2.486600,250.356000,2.486600,2.486600
0.695214,2.486500,250.820000,2.486500,2.486500
0.696214,2.486410,2.486410,2.486410,2.486410
0.697214,2.486310,250.334000,2.486310,2.486310
0.698214,2.486220,2.587220,2.486220,2.486220
0.699214,2.486130,2.530130,2.486130,2.486130
0.700214,2.486030,3.199150,2.486030,2.486030
